step,policy,efe,risk,ambiguity,epistemic,predicted_joule_horizon,predicted_excess_energy_horizon,projected_terminal_debt,projected_path_debt,vfe,center,sigma,precision,kappa,internal_fraction,boundary_fraction,external_fraction,coupling_proxy,step_joule_total,step_joule_particle,step_joule_control,step_leakage,cumulative_joule_total,mean_abs_external,mean_abs_active,mean_abs_y,baseline_step_joule_total,baseline_step_joule_particle,baseline_step_joule_control,baseline_cumulative_joule_total,step_joule_saving_vs_baseline,cumulative_joule_saving_vs_baseline,energy_debt,breakeven_step,step_joule_total_ema,baseline_step_joule_total_ema,energy_debt_ema,cumulative_joule_saving_ema,efe_ema
10,relax,24.666305728638736,21.94387519723285,0.056134203494074796,0.05543684938156064,0.04676182318700744,0.015174949258184772,0.018816185086123056,0.15511403701011925,0.6572918947063112,-0.0028809004378195276,0.1511439935691123,4.022891156757584,0.76,0.2928411650443658,0.013083928585342814,0.6940749053788181,0.03050740186079072,0.07678109947444622,0.07051731683270626,0.00626378264173996,0.659371160109877,0.029676466255887834,0.529516763180341,0.4448042023678939,0.3642725443676835,0.058316787467463986,0.057944680431777855,0.0003721070356861328,0.02529665794767026,-0.018464312006982238,-0.004379808308217577,0.004379808308217577,,0.06593664524856337,0.05744038202296965,0.0013779169182007937,-0.0013779169182007937,19.51094601326138
11,relax,24.96099530894692,21.974677320844346,0.05568942244434039,0.043509581411573336,0.047342496619878646,0.015827370908134113,0.02020717921635169,0.1707187932013642,0.6874663010972296,-0.002915050895540363,0.1466238026858186,4.053323897881034,0.76,0.289107995650693,0.017302550674290595,0.6935894526833374,0.03513950954451157,0.07782153047335934,0.0717502301814333,0.006071300291926035,0.6589099800491702,0.03278932747482221,0.32449455954975176,0.43968570710242455,0.358818320189086,0.058021786315577625,0.05764901071754425,0.00037277559803338117,0.027617529400293363,-0.019799744157781712,-0.005171798074528846,0.005171798074528846,,0.06688743606654705,0.05748689436637829,0.001681427410707038,-0.001681427410707038,19.94694995691622
12,relax,25.20767231215332,21.959497728699063,0.055394151926519856,0.04039604298941272,0.04780874246277855,0.016362869608366165,0.021534667682895005,0.18665996009575278,0.6946456130039094,-0.0030886837352068785,0.14440434902639285,4.059931369465248,0.76,0.28607501888305775,0.02691515431871882,0.6870098258091999,0.09995987702255726,0.07768656732874026,0.07185167069354492,0.005834896635195335,0.6526593345187393,0.03589679016797182,0.6170289850169098,0.4324416129532189,0.3530197482747544,0.056758046389498815,0.056386067642894694,0.0003719787466041198,0.029887851255873316,-0.02092852093924144,-0.006008938912098504,0.006008938912098504,,0.06775136656752251,0.05742858652822794,0.0020276283308183554,-0.0020276283308183554,20.36780774533519
13,relax,25.4090641829727,21.90069038372647,0.05529434952016657,0.04017531185082771,0.04809777508815758,0.016726458639143883,0.022735397551242386,0.20284214279748253,0.6422788249972843,-0.003331096878782194,0.14468535681393271,4.045286732118308,0.76,0.28350057506844106,0.05336315185300504,0.6631362720988668,0.11138149370559021,0.07843421220151356,0.07287800165981653,0.005556210541697033,0.6299794584939234,0.03903415865603237,0.8430004707221126,0.42312127244655834,0.3468321205097978,0.055941175267938986,0.0555709030066264,0.0003702722613125852,0.03212549826659088,-0.022493036933574573,-0.0069086603894414865,0.0069086603894414865,,0.0686059942182418,0.05730959362740483,0.002418110895508206,-0.002418110895508206,20.77110826034619
14,relax,25.557133886947735,21.794521000012885,0.055389279346133795,0.043629377463276386,0.0481649097571286,0.016871628367912526,0.02378028875735401,0.2190486115222504,0.566885501027813,-0.003952113180512429,0.14649808205022696,4.044252229894591,0.76,0.28036924244552935,0.08383086062593925,0.6357998959446044,0.05756937596772133,0.0805475051520132,0.07530031324576363,0.005247191906249578,0.6040099011473745,0.042256058862112894,0.7398461582563809,0.4122087143839922,0.340262348584632,0.05622743258163487,0.05585923624882483,0.00036819633281004693,0.034374595569856274,-0.024320072570378326,-0.00788146329225662,0.00788146329225662,,0.06956131509294351,0.05722302074374323,0.002855179087248079,-0.002855179087248079,21.153990310474313
15,relax,25.688356396040604,21.67382259527818,0.05537931327333398,0.0429210699577591,0.04803727567289758,0.016828749895384295,0.024710213187640915,0.23515448134361747,0.5165857297764974,-0.0046367853089541,0.1486691661082886,4.054943996068005,0.76,0.27717373952946334,0.10389406617761471,0.6189321933044026,0.010038774654255948,0.0831261481015808,0.07819969179391908,0.004926456307661716,0.5879855836391826,0.04558110478617613,0.4308367625981395,0.4005957828413475,0.333313442289542,0.056644981015212446,0.056279208653792934,0.0003657723614195108,0.03664039481046477,-0.02648116708636835,-0.008940709975711354,0.008940709975711354,,0.0706465017336345,0.057176777565460774,0.0033420215583251415,-0.0033420215583251415,21.516739597319617
16,relax,25.76613401697899,21.50174158515,0.05525830375381933,0.03751446317619481,0.047748315898834215,0.016633973444556572,0.025574683420267925,0.25105724149641867,0.4941934107552859,-0.005151295763058799,0.15083304359218913,4.068544159721783,0.76,0.2748086689311888,0.11668093466965185,0.608510395408145,0.046910962137948126,0.08430121765176071,0.07970027469617252,0.00460094295558819,0.5780848756377381,0.048953153492246555,0.3972657061823668,0.3885507142557972,0.32610091041816747,0.056201207829558605,0.05583837358496538,0.0003628342445932267,0.038888443123647115,-0.028100009822202107,-0.010064710368599438,0.010064710368599438,,0.0717388790070846,0.0570987319865886,0.0038798366631470856,-0.0038798366631470856,21.856691150892367
17,relax,25.793259130174285,21.276344208645796,0.055136461194645194,0.017441583022660714,0.04735070001781088,0.016327001127555058,0.026391711496154498,0.26663761832819016,0.4914411067783899,-0.005577977965107806,0.15299160785826174,4.076881089943354,0.76,0.2732751013122012,0.12712311528454479,0.5996017824123839,0.004000913886093132,0.08462714904192414,0.08035240842259045,0.004274740619333688,0.569621693291765,0.05233823945392352,0.697183257924525,0.3760210020897548,0.31864682243028364,0.055648233513346496,0.055288737098539965,0.0003594964148065295,0.041114372464180975,-0.028978915528577644,-0.011223866989742544,0.011223866989742544,,0.07276994060987177,0.056982692108729235,0.004467359089274723,-0.004467359089274723,22.171616589234922
18,relax,25.78747072244223,21.043295008684833,0.055056945465786836,0.03139576034947158,0.046893215496403975,0.01595847857653849,0.027182345566281036,0.2818730452456026,0.4996320376501696,-0.005921673364052932,0.15510197581986807,4.0828338849628825,0.76,0.27162423467158126,0.13730713456794683,0.5910686297692251,0.066145268262519,0.0845715197205007,0.0806186076475924,0.003952912072908295,0.5615151982807646,0.05572110024274354,0.8655218454543442,0.3630573931601259,0.3110031339298195,0.05582556678495105,0.05546965079169,0.00035591599326104687,0.04334739513557902,-0.02874595293554965,-0.01237370510716453,0.01237370510716453,,0.0737140669387221,0.05689012208282698,0.005099866770705907,-0.005099866770705907,22.46088491989151
19,relax,25.791567401094838,20.808659049803953,0.055014199197129895,0.012606790146547166,0.04637739732244916,0.015529199729514574,0.027902904836679104,0.29670891106798103,0.5223397376616055,-0.0060836424451207035,0.1567799776815229,4.089410435942016,0.76,0.2677883185662569,0.1433693131508969,0.5888423672912309,0.1000268415527266,0.08501680152830099,0.08137158775488161,0.003645213773419382,0.5594002489266696,0.05912177230387558,0.7036504716505942,0.350117543750824,0.30327507644685714,0.056787796507824874,0.05643548064150523,0.00035231586631964923,0.04561890699589201,-0.028229005020476115,-0.013502865307983574,0.013502865307983574,,0.07461828570588841,0.05688193603682681,0.00577210665368812,-0.00577210665368812,22.727339518387776
