step,center,sigma,precision,step_joule_total,step_joule_particle,step_joule_control,step_leakage,cumulative_joule_total,step_joule_total_ema
0,-0.0038738922725073894,0.390909929589509,1.7010610276769453,0.05733048101226923,0.05711501673548779,0.00021546427678143854,0.47129180592428566,0.002293219240490769,0.05733048101226923
1,-0.005657201321460753,0.3254007048868034,2.409572119856883,0.05755843952203564,0.05732156756352278,0.0002368719585128617,0.46289184637939484,0.004595556821372195,0.05734871769305054
2,-0.005831747950744407,0.27168003293371146,2.9860305501313213,0.0573189940421763,0.057055907920100866,0.00026308612207543385,0.5004425682563024,0.006888316583059247,0.057346339800980604
3,-0.005438396564413898,0.2254427637352603,3.3702493520380568,0.05700743564973128,0.05671944323003207,0.00028799241969920653,0.5673674026947685,0.009168614009048498,0.057319227468880664
4,-0.004934975808534363,0.18365304030350282,3.678356899970694,0.05747280302393084,0.05716031729260456,0.0003124857313262788,0.6399279756755176,0.011467526130005732,0.05733151351328468
5,-0.004635656900425484,0.15184327269059256,3.917868297706864,0.05829176697342555,0.05795919464180483,0.00033257233162072236,0.6670826965833081,0.013799196808942754,0.05740833379009595
6,-0.004383515762614329,0.12857762192649638,4.081985094834371,0.05814909479218886,0.05780104451960676,0.00034805027258210156,0.682302476089167,0.01612516060063031,0.05746759467026338
7,-0.0043228193787590635,0.11206123047148762,4.183640179087805,0.05704854342112916,0.05668929521802989,0.0003592482030992648,0.6936287820711825,0.018407102337475476,0.05743407057033265
8,-0.00449067411997969,0.10116041211118183,4.247285950940855,0.0565301093498165,0.05616386151373719,0.00036624783607931146,0.7098563426044309,0.020668306711468135,0.05736175367269136
9,-0.004979507586403871,0.09396587199338001,4.289078459914078,0.057391993437589085,0.057021778642592814,0.0003702147949962676,0.7226964714858854,0.0229639864489717,0.057364172853883184
10,-0.005189678901311535,0.0892174755156308,4.294686488736511,0.058316787467463986,0.057944680431777855,0.0003721070356861328,0.732101660040055,0.02529665794767026,0.05744038202296965
11,-0.00490574763062634,0.08608353384031633,4.255595439008456,0.058021786315577625,0.05764901071754425,0.00037277559803338117,0.6931846531305154,0.027617529400293363,0.05748689436637829
12,-0.004808446599587214,0.08489769969254583,4.251427956647867,0.056758046389498815,0.056386067642894694,0.0003719787466041198,0.6458007915140467,0.029887851255873316,0.05742858652822794
13,-0.004889727144583699,0.0849504497858681,4.277842822962938,0.055941175267938986,0.0555709030066264,0.0003702722613125852,0.6224246279066332,0.03212549826659088,0.05730959362740483
14,-0.005325017477483474,0.08524394104572212,4.309386018231033,0.05622743258163487,0.05585923624882483,0.00036819633281004693,0.6173354049416023,0.034374595569856274,0.05722302074374323
15,-0.005294061688685613,0.0859112330208279,4.332135280360621,0.056644981015212446,0.056279208653792934,0.0003657723614195108,0.6147861167383468,0.03664039481046477,0.057176777565460774
16,-0.005831485398441742,0.08670984165239198,4.347149528153791,0.056201207829558605,0.05583837358496538,0.0003628342445932267,0.6137765333650292,0.038888443123647115,0.0570987319865886
17,-0.006626019829199638,0.08772967027942805,4.360196630222724,0.055648233513346496,0.055288737098539965,0.0003594964148065295,0.6134859735527748,0.041114372464180975,0.056982692108729235
18,-0.007472486090330651,0.08897446222715324,4.365130090868726,0.05582556678495105,0.05546965079169,0.00035591599326104687,0.6134326422434353,0.04334739513557902,0.05689012208282698
19,-0.008093240162231338,0.0904916469064553,4.3698733343314995,0.056787796507824874,0.05643548064150523,0.00035231586631964923,0.6134331309867347,0.04561890699589201,0.05688193603682681
20,-0.008596685899689989,0.09221299395808356,4.373085544680017,0.056896945511812375,0.0565481714226474,0.00034877408916497585,0.61329619492272,0.047894784816364507,0.05688313679482566
21,-0.009302072868411802,0.09400101387919566,4.364025341318049,0.05585386755384093,0.05550864479309356,0.00034522276074737727,0.6122498514670072,0.05012893951851814,0.056800795255546876
22,-0.010489290927356749,0.09563440526626268,4.361656573692202,0.055048265498812095,0.05470669014373526,0.00034157535507683403,0.6109499389162717,0.052330870138470625,0.056660592875008096
23,-0.011215234091088485,0.09755909381657786,4.3624168688579985,0.05549975598309377,0.055162306978406135,0.00033744900468763843,0.6113660969907596,0.05455086037779438,0.05656772592365495
24,-0.011454116692385958,0.09982725633835693,4.36311626531945,0.056523082040510396,0.056190273436106074,0.0003328086044043219,0.6124737548662252,0.05681178365941479,0.05656415441300339
25,-0.011887916228118963,0.10218972537909543,4.360838340389296,0.05629046488227404,0.05596260335518881,0.0003278615270852298,0.6137976926048554,0.05906340225470575,0.05654225925054504
26,-0.012027023597254233,0.10477616201152382,4.360906130895629,0.054894136254531364,0.05457131217068852,0.00032282408384284097,0.6166582023439552,0.061259167704887006,0.05641040941086395
27,-0.01204799062071158,0.1072955187184299,4.3656153308870795,0.053990298772998394,0.05367219934355243,0.00031809942944595874,0.6209730962546612,0.06341877965580694,0.056216800559834704
28,-0.012403834749252794,0.10937678521428379,4.37059135400678,0.05410854228906527,0.05379461344845215,0.0003139288406131169,0.6255427994090352,0.06558312134736956,0.05604813989817315
29,-0.01271999116179952,0.11168535915940524,4.369058070219325,0.05429039793432133,0.053980616698621184,0.00030978123570014925,0.6261119771262527,0.06775473726474242,0.05590752054106501
30,-0.013116847052580247,0.11382861139195294,4.367909969822756,0.053935118729013055,0.05362938173443494,0.00030573699457811494,0.627088808124828,0.06991214201390294,0.05574972839610086
31,-0.013527375085223364,0.11626138165087832,4.3695111118664025,0.0534241842535883,0.053122780840360415,0.00030140341322788935,0.6260515733579683,0.07204910938404648,0.055563684864699855
32,-0.01405515706224654,0.11888987661468453,4.36755979310394,0.05366208361167836,0.053365377822130126,0.00029670578954823514,0.6258056549869668,0.07419559272851362,0.055411556764458136
33,-0.014300888851881449,0.12167148514033288,4.369085124542953,0.054568232441973945,0.05427632054826714,0.0002919118937068051,0.6270347677739977,0.07637832202619257,0.0553440908186594
34,-0.014450139719217964,0.12510786540962576,4.370156348529443,0.05480302788237636,0.054516327427884634,0.0002867004544917255,0.624051312671408,0.07857044314148763,0.055300805783756755
